Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Ryanair Holdings PLC","RYAAY","2353.39208",".2","24.58","4131.0498","3995.82006","4904.47998","1.12",".72","1.62","6.78","2613.67993","1956.86999","8365.92","0","23024.61328","11.34","8.96689","126.69","23024.61","0","","9.78","4","2.64","14.5","234.23","29.19","16.53","12.88399","18.6","467067.5"
"Rayonier Advanced Materials Inc.","RYAM","169.92999",".34","14.43","1232.17004","307.57","646.53002","2.17","1.64",".6","1.66","498.05999","385.13","961",".28","534.91979","4.32","10.26599","22.31","1069.84","1.34",".45","5.32","1.45",".66","12.58","51.21","17.08","6.21","13.538","6.28","790856.44"
"RYB Education, Inc. Sponsored ADR","RYB","13.20499",".05","3.68","0","97.01999","172.8","1.64","","-.03","","16.68","10.59","140.8","0","286.34335","","","31.14","572.69","0","","43.37","5.43","","","28.66","","","","","92701.2"
"Rolls-Royce Holdings PLC","RYCEY","2090.23706",".26","4.3","4389.6499","14080.13964","18810.03906","1.34","","","","7652.87988","6518.74023","21010.18",".1341","24758.79882","","","14.54","24758.8","1.27","11.03","11.72","3.08","","","1870","","","","","53821.15"
"Ryerson Holding Corporation","RYI","60.9",".01",".57","1024.40002","402.70001","1103.90002","2.17","48.25",".46",".7","154.8","107.69999","3364.7","0","122.4552","1.44","3.71339","12.7","367.37","0","","6.02","17.33",".1","14.07","37.3","2278.26","2.57","6.4527",".71","225761.05"
"Rayonier Inc.","RYN","210.52999",".18","13.23","1022","68.54","183.52","2.37",".57",".28",".98","345.35998","217.33","819.6","1","1147.66296","4.41","3.88549","39.55","4590.65","3.05","10.35","21.72","2.68","5.3","36.18","129.46","7.47","4.69","4.33199","14.64","877013.38"
"Royal Standard Minerals Inc.","RYSMF","-.038","","0","0",".15999",".00247",".02","","0","0","-.03","-.03","","0","","-234.33","-143.67301","0","3.68","0","","","","","","920.84","","","","","78790"
"Rhythm Pharmaceuticals, Inc.","RYTM","-37.362","","8.32","0","6.71999","150.66999","40.16","0","-.52","-3.31","-33.48","-33.70001","","0","1084.37268","-34.27","","35.85","1084.37","0","","","3.81","","","34.17","-41.44","-35.77","","","135524.8"
"Antriabio, Inc.","RZLT","-19.16","",".01","0","1.76999","4.92",".1","","-.09","","-19.15801","-20.268","","0","","-295.68","-182.73301","1.2","18.77","0","","","30.81","","","62.17","-456.33","-456.33","-244.52201","","6941.6"
"Sprint Corporation","S","8711",".23","6.98","37463","10800","14253","1.15","1.28",".04",".03","11090","2668","32406","0","1635.9082",".15","-2.0602","8.52","24538.62","0","","2.82",".88",".76","204.33","4003.04",".51",".21","-3.18811",".39","10810377"
"Seabridge Gold, Inc.","SA","-7.93201","","4.79","0","4.76999","18.19","2.8","0","-.03","-.16","-6.24","-6.24","","0","659.58422","-3.14","-3.6269","13.6","659.58","0","","","2.32","","","59.42","-3.43","-3.43","-3.88031","","353154.06"
"Sabre Corporation","SABR","835.27099",".07","3.2","3398.72998","972.14001","960.69","1.09","3.83",".37","1.44","1005.72998","531.53002","3598.48",".56","1384.54968","6.39","5.91499","26.68","6922.75","2.23","2.68","8.28","7.85","1.84","18.92","275.15","47.59","8.78","8.70699","9.73","2757993.5"
"Sadlier","SADL","","","","","","","","","","","","","","1.14999","","","","67.5","46.94","2.19","","","","","",".89","","","","","25"
"SAExploration Holdings, Inc.","SAEX","-12.056","-.32",".5","120.29","21.21999","18.26","1.1","5.62","-2.24","-9.18","23.59","-5.11001","127.02","0","","-44.98","-11.39501","2.88","11.16","0","","","1.09",".14","","20.45","-394.81","-57.74","-16.178","-80.46","1220805.38"
"Sanderson Farms, Inc.","SAFM","397.45498",".08","66.47","0","198.72","849.53002","4.64","","1.84","10.73","544.11999","426.41","3342.23","1.03999","829.32739","14.09","17.78","172.81","2487.98","1.17","","6.23","1.64",".72","10.15","22.84","16.79","16.79","21.961","7.11","373053.66"
"Safran SA","SAFRY","4185.49707",".28","7.2","4312.08984","17272.11914","21539","1.25","","","","7778.70996","6557.99023","19461.51",".16471","54341.92578","","","31.82","54341.93","2.21","","12.2","4.25","","","1774.72","","","","","60010.55"
"Safety Insurance Group, Inc.","SAFT","74.37699",".07","45.56","0","1081","383.54998",".36","0","1.81","4.42","98.77999","86.79","839.11","3","","3.72","2.7362","96.05","1468.32","3.33","","19.65","2.11","1.74","21.73","15.29","9.74","9.74","6.8235","8.04","26043.55"
"Sage Therapeutics, Inc.","SAGE","-269.89002","","23.1","0","51.95","525.07","23.46","0","-.36","-5.76","-269.89002","-270.12","","0","473.11077","-31.18","-50.292","192.33","7096.66","0","","","6.58","","","46.66","-33.38","-33.38","-56.635","","385645.31"
"STAGECOACH GRP","SAGKF","","","","","","","","","","","","","5343.68","0","","","","2.32","1198.29","0","","","","","","573.34","","","","","22.95"
"Sonic Automotive, Inc.","SAH","174.35",".01","18.43","963.38","1954.82995","2019.79003","1.03","1.19",".35","1.85","289.14999","197.02999","9867.21",".2","186.21994","2.14","2.9221","23.35","931.1","1.1","4.91","5.4","1.18",".09","11.78","42.71","10.42","4.58","6.52409",".79","213756.55"
"Saia, Inc.","SAIA","144.34399",".07","24.91","118.83","167.19999","203.58","1.13",".22","1.15","3","181.91999","94.81999","1378.51","0","247.93745","7.86","6.88299","86.7","1983.5","0","","13.63","3.1","1.3","25.73","25.69","13.38","11.06","10.6","5.18","252629.8"
"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","SAIC","203.195",".04","7.66","983","695","950","1.34","","1.13","4.15","304","258","4454","1.24","629.53009","8.87","8.5797","90.1","3777.18","1.39","3.99","18.73","11.62",".83","21.44","42.44","56.35","13.94","14.06","4.04","130169.1"
"SailPoint Technologies Holdings, Inc.","SAIL","16.68799","-.04","3.73","68.31999","100.22","199.03999","1.47",".03",".03","","20.45","9.48999","186.06","0","848.34552","","","29.2","2545.04","0","","148.88","7.78","","","87.64","","","","","1233443.88"
"Salem Media Group, Inc.","SALM","23.614",".09","8.66","249.57","42.13999","46.72","1.07","1.06",".06",".17","38.43999","20.46999","263.74",".25999","46.4695",".75","1.85689","6.7","92.94","7.32","","3.93",".41",".35","20.88","26.18","1.9",".9","2.26049","1.63","121432.8"
"Scorpio Bulkers Inc.","SALT","25.68499","-.37","11.91","667.42999","58.59","82.55",".91",".71",".01","-.23","42.47999","-24.76001","162.21",".01999","73.24713","-1.06","-4.36071","8.7","512.73","1.19","","19.68",".57","2.51","","75.96","-1.84","-1.1","-4.51141","-8.17","462667.06"
"The Boston Beer Company, Inc.","SAM","124.96499",".11","37.67","0","101.75","168.33999","1.61","0","1.98","6.15","167.38999","116.13999","862.99","0","1710.21252","12.55","15.23999","327.15","3420.43","0","4.32","27.07","7.73","3.66","47.33","11.75","17.21","17.21","21.40699","7.91","157002.66"
"Silvercrest Asset Management Group Inc.","SAMG","15.864",".06","5.69","0","45.24","64.59999","1.65","0",".31","1.11","29.17","26.37","91.36",".47999","","12.3","11.04899","17.55","216.63","3.41","","13.65","2.88","2.25","14.77","13.21","18.35","18.35","29.158","13.93","20566.9"
"Banco Santander, S.A.","SAN","11421.12207",".14","7.77","460830.09375","968864.875","1322259","1.32","4.25",".14",".56","26103.14062","23172.28125","54664.81",".1438","40101.43359",".56",".46728","7.55","80202.87","4.69","1.21","7.02",".64","1.39","8.93","16040.57","7.55","1.12","1.3422","16.41","7874533"
"Sandstorm Gold Ltd","SAND","41.402",".15","3.33","0","6.42999","38.34999","2.46","0","0",".02","47.50999","16.79","68.28","0","330.79199","1",".33539","5.55","661.58","0","","15.77","1.08","9.22","179","184.8","1.02","1.01",".33818","9.07","1188675.75"
"Sanmina Corporation","SANM","343.333",".02","21.73","391.44","1616.04003","2616.25","1.26",".01",".55","2.17","354.16","235.41","6868.62","0","2052.42211","4.1","4.9393","39.05","2052.42","0","1.5","6.63","1.39",".29","14.52","67.96","10.28","8.6","9.17","2.24","334948.16"
"S&W Seed Company","SANW","2.7","","3.54","1.09","51.31","56.72","2","",".08","-.13","2.80999","-1.69001","75.37","0","19.16538","-1.52","-.3098","4.3","76.66","0","","20.98",".89","1.06","","24.34","-2.93","-2.68","-.53006","-3.07","14581.55"
"SAP SE","SAP","6667.0332",".18","25.1","6051","12275","14343","1",".25","1.17","5.34","7906","6377","26502.13",".98018","143612.125","10.48","10.538","121.96","143612.13","1.02","3.63","21.54","4.66","5.09","25.41","1228.5","18.07","14.63","14.68799","19.5","768599.13"
"SAIPEM SPA SAN","SAPMF","","","","","","","","","","","","","11080.32","0","5093.35253","","","5.04","5093.35","0","","","","","","1010.97","","","","","1035"
"Seven Arts Entertainment Inc.","SAPX","","","","","","","","","","","","","","0","","","","0",".02","0","","","","","","162.78","","","","","1581055.25"
"SARTORIUS AG","SARTF","291.25",".08","24.35","1003.01","444.95999","759.59002","1.71","",".66","1.87","371.48999","260.32","1587.58","0","","6.16","","149","5578.56","0","","19.15","6.12","3.34","79.68","37.44","18.25","8.39","","9.62","1.5"
"EchoStar Corporation","SATS","614.39202",".21","44.14","3594.20996","413.89001","3715.55004","2.77",".61",".12",".72","851.77001","317.92999","1885.51","0","4646.59619",".8","1.5533","61.96","4646.6","0","","7.54","1.09","2.31","67.11","96.16","1.71",".94","1.95599","3.5","226217.3"
"Diversified Restaurant Holdings, Inc.","SAUC","11.986","-.12","-.7","102.98999","20.67","7.01999",".24","-4.25","-.04","-.1","18.62","5.34999","165.46","0","34.85632","-2.47","-.6747","2.32","34.86","0","","2.4","",".22","","32.58","","-3.27","-.8635","-1.73","243549.45"
"Straumann Holding AG","SAUHF","317.92599",".25","68.48","203","217.38","696.21997","3.2","","","","448.54998","407.98999","1130.23","0","12512.65136","","","809","12512.65","0","2.38","39.36","11.51","","","15.88","","","","","3.8"
"Spirit Airlines, Inc.","SAVE","378.89898",".16","25.4","1387.48999","647.02001","1280.26","1.37","1","1.11","3.22","545.23999","397.14999","2647.67","0","305.08645","5.11","12.163","48.26","3050.86","0",".58","8.18","1.76","1.05","13.88","68.25","13.03","6.98","17.912","7.61","1091922.5"
"Sampo PLC","SAXPY","2562",".32","13.63","4124.45996","21427.0996","3425.92993",".16","",".42","2.35","2896.93994","2864.16992","7820.54","1.0089","","4.62","4.5538","29.92","27658.4","5.13","","10.8","1.81","","10.51","1120","17.06","13.4","11.918","","31740.3"
"Safe Bulkers, Inc","SB","52.22399","-.57","4.44","541.80999","36.93","79.08",".93","1.08",".02",".02","-7.57001","-61.45001","148.03","0","58.4951","9.83","2.23489","3.9","292.48","0","","5.6",".65","1.7","144","101.55","21.84","10.41","2.39339","60.38","328444.66"
"SBA Communications Corporation","SBAC","784.427",".06","-26.49","9290.67968","278.89999","259.52999","1.18","-3.18","1.83","2.59","1108.55004","443.51","1727.67","0","3624.93627",".45",".36937","174.73","18124.68","0","2.12","23.43","","10.12","","114.84","-1.26",".51",".42092","1.84","1155763.75"
"Subaye Inc.","SBAY","","","","","","","","","","","","","","0","","","","0","0","0","","","","","","9.38","","","","","120"
"Strongbridge Biopharma PLC","SBBP","-48.03401","-16.11",".19","37.79","12.47","60.81","6.46","8.76","-.36","-1.35","-102.37001","-107.40001","7.05","0","120.27825","-46.23","-63.01901","8.85","240.56","0","","","27.15","17.58","","46.71","-1224.3","-114.71","-102.95501","-435.58","1080847.25"
"Sinclair Broadcast Group, Inc.","SBGI","668.25299",".21","15.5","3887.60009","726.34002","1714.73999","2.96","2.44",".27","2.7","1122.48999","731.04998","2734.12",".72","587.10443","4.15","3.73449","39.9","2935.52","2.51","5.23","4.37","1.85","1.05","10.63","102.28","19.12","5.2","4.7272","9.9","1970193"
"Sibanye Gold Limited","SBGL","392.88","-.1","7.33","1806.58996","635.35998","903.92999","1.42","","","","97.26","-331.92002","3449.4",".12998","517.38116","","","6.32","517.38","0","","1.32",".29","","","246.37","","","","","2888089.25"
"Schneider Electric SE","SBGSY","3574.65893",".09","7.61","6386.18994","11245.3496","15120.01953","1.34","","","","4407.02978","3518.62011","27950.31",".39351","46007.53125","","","18.77","46007.53",".22","2.59","12.87","2.04","","","2962.49","","","","","224990.7"
"Sally Beauty Holdings, Inc.","SBH","363.76599",".05","-2.72","1771.84997","574.55999","1170.5","2.12","-5.42",".6","2.03","594.15997","478.57998","3938.32","0","196.23028","12.15","12.14099","20.49","1766.07","0","1.22","5.31","",".45","7.24","120.14","-76.04","17.86","17.142","6.5","2162744"
"SBI Holdings Inc.","SBHGF","399.61898",".14","19.22","0","30327.35937","29729.68945",".99","",".37","1.76","635.84002","536.42999","3043.26","0","","1.14","1.01359","29","5625.28","0","","14.08","1.3","1.85","14.23","224.56","10.44","10.44","6.26189","13.83","4319.7"
"Star Bulk Carriers Corp.","SBLK","71.662","-.03","17.11","837.86999","219.27","312.61999","1.66","",".21",".65","126.15","40.91999","331.98","0","162.17878","1.9","-2.1954","14.38","810.89","0","","11.32",".74","1.83","19.75","64.15","3.79","2.07","-2.5024","9.28","400512.09"
"SINO PHARMACEUT","SBMFF","","","","","","","","",".01","","","","2038.79","0","","","","1.7","14659.84","0","","","","","","12637.79","","","","","32997.8"
"Stellar Biotechnologies, Inc.","SBOT","-4.86101","-22.06","2.32","0",".31999","6.75","28.37","0","-.38","-8.43","-4.85","-5.02",".23","0","7.46199","-63.3","-163.422","9.1","7.46","0","","",".6","46.35","","5.33","-67.28","-67.28","-67.79101","-3187.58","75064.85"
"Spring Bank Pharmaceuticals, Inc.","SBPH","-20.734","","2.32","0","4.42999","51.13","9.64","0","-.29","-1.61","-27.52001","-27.67001",".35","0","50.54249","-42.44","-114.825","18.72","151.63","0","","","4.95","","","13.19","-64.41","-64.41","-157.997","","74922.2"
"Sabra Healthcare REIT, Inc.","SBRA","271.35299",".39","19.11","3394.48999","102.51999","701.83001","3.16","1",".57","2.46","360.42001","247.44999","405.65","1.73","592.41223","5.53","3.1956","23.46","4146.89","7.74","2.72","15.28","1.22","6.79","9.46","178.28","11.21","5.7","3.2711","62.6","1131783.25"
"Sberbank of Russia Sponsored ADR","SBRCY","12861.86035",".26","","28230.39062","357718.3125","405757.3125","1.13","",".17",".64","19747.08007","19747.08007","48694.74",".31834","","3.03","1.85469","21.09","","5.37","","","","","18.3","","24.57","16.16","10.16399","29.13","318579.84"
"Arkados Group Inc.","SBRT","-2.62","",".29","8.03999","4.96","3.2",".39","","-.09","","-2.33","-3.05","2.34","0","","-48.01","-990.83503","1.52","37.49","0","","","3.53","3.04","","36.05","-137.49","-78.01","","-73.19","313566.34"
"Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","SBS","1197.27697",".17","8.16","3242.92993","1494.55004","1432.59997","1.07","",".08","1.04","1720.64001","1312.89001","4578.07",".28817","4381.29882","5.69","5.23019","11.78","4381.3","3.82","","3.66",".79",".97","6.16","683.51","12.76","8","7.07049","15.55","1074363.25"
"Spanish Broadcasting System, Inc.","SBSAA","-18.842",".15","-15.44","0","447.14001","55",".13","0","-.46","-1.36","46.65999","40.54999","134.71","0","","-3.3","-7.57911","1.2","1.95","0","","","",".01","","6.56","","","-27.91301","-10.44","1763.3"
"Starbucks Corporation","SBUX","4083.33496",".13","2.96","3932.60009","4220.70019","5283.3999","1.01","1.54",".62","2.35","5477.10009","4410","22386.8","1","5161.27099","19.78","19.80599","61.69","72257.8","2.69","1.59","18.94","18.08","3","22.79","1349.1","67.11","32.81","30.82999","13.87","9903102"
"Standard Chartered PLC","SCBFF","1553",".06","15.72","63555","472057","392629",".83","","","","3919","3919","20679","0","28034.19921","","","12","28034.2","0","","18.02",".54","","","3302.03","","","","","2381.1"
"Southern Copper Corporation","SCCO","1403.48999",".11","8.5","5957.10009","1168.30004","3170.10009","3.15",".91",".61","1.14","3279.80004","2608.69995","6654.5",".58999","11242.63671","7.14","8.98069","57.34","33727.91","3.67","","24.03","5.13","4.67","28.33","773.04","15.5","8.05","10.194","13.82","1123275.38"
"Schaeffler AG","SCFLF","","","","","","","","","","","","","14764.17","0","2241","","","20.25","2241","0","2.05","","","","","166","","","","","632.6"
"SCANA Corporation","SCG","1051","-.03","37.42","5906","2113","1851",".76","1.14",".67","4.02","582","132","4407","2.44749","5491.0625","3.01","3.24519","62.05","5491.06","1.29","3.67","5.24","1.03","1.29","9.58","142.63","10.57","4.97","4.94799","13.49","1630604"
"Societe Generale Group","SCGLY","5195.21582",".12",".19","223189","479563.6875","678746.3125","1.37","",".28","1.17","5929.5498","5807.47998","27059.04",".39824","16390.61523",".5",".27162","11.77","32781.23","5.12",".23","6.31","42","1.1","6.94","4039.58","10.08","2.48","1.39859","16.78","147058.7"
"Scholastic Corporation","SCHL","119.09999","0","37.74","0","445.79998","958.29998","2.15","0","1.45","1.4","68.69999",".5","1628.4",".6","1443.95471","2.78","3.14439","47.46","1443.95","1.45","","12.13","1.09",".89","29.48","34.99","3.97","3.97","4.72289","3.13","114799.25"
"Schnitzer Steel Industries, Inc.","SCHN","92.74099",".03","22.99","144.39999","176.25999","337.95001","2.2",".28","1.26","3.42","106.61","56.77","1687.59",".75","343.59973","9.76","2.21609","38.7","687.2","2.94","","7.44","1.11",".31","7.46","26.95","17.21","13.15","2.9191","4.51","342145.16"
"The Charles Schwab Corporation","SCHW","3011",".27","12.81","4753","219996","67598",".27",".33",".6","2.01","4261","3650","8618",".31999","8596.13867","1.18",".90758","59.59","68769.11","1.02","1.28","22.66","3.97","7.4","25.32","1351.06","17.96","12.39","10.05","31.32","5341316"
"Sands China Ltd.","SCHYY","2315",".21","5.62","4358","1597","1558",".98","",".41","","2490","1778","7715","2.45749","","","","62.78","37449.16","5.28","","16.18","8.25","","","807.44","","","","","14433.1"
"Service Corporation International","SCI","553.21301",".18","8.19","3135.31005","828.96997","481.29",".56","2.37",".44","1.74","824.11999","569.36999","3095.03",".57999","2502.78173","2.59","2.0699","41.63","7508.35","1.63","1.81","14.11","5.09","2.4","23.93","180.36","23.37","6.98","5.79099","10.51","1272787.13"
"SCI Engineered Materials Inc.","SCIA",".476","0",".57",".18","1.27999","2.00999","1.29",".08",".07",".08",".51801",".04801","6.8","0","","7.22","-4.9389","2.38","8.95","0","","18.55","3.75","1.13","26.5","4.22","17.79","13.19","-6.96611","4.68","9172.25"
"SpectraScience Inc.","SCIE","-3.67701","","","1.1","10.8",".36","","","0","0","-2.71001","-3.5","0","0","","","-198.94501","0",".49","0","","","","","","4923.79","","","","","5579529"
"Scientific Learning Corp.","SCIL",".81",".01","-.51","5.94999","9.40999","5.38",".53","","-.01","-.01",".47999","-.10001","16.4","0","","-14.06","-15.83","1","15.22","0","","16.23","",".92","","27.62","","","","-7.37","8047.45"
"Scailex Corp.","SCIXF","","","","","","","","","","","","","","0","","","","1","","0","","","","","","","","","","","1.8"
"Socket Mobile, Inc.","SCKT","1.526","-.07","2.1",".27","2.31999","8.85","1.42",".06","-.02","0","2.71","2.4","21.29","0","","-.12","8.1868","4.17","14.54","0","","11.35","1.18",".81","","5.88","-.15","-.14","7.9513","-.13","9506.9"
"Stepan Company","SCL","187.71099",".05","33.83","268.29","320.25","788.72998","2.55",".34","1.38","4.73","229.69","150.66999","1925.01",".83999","991.23724","7.53","6.7276","89.25","1982.47","1.02","","10.56","2.6","1","18.61","22.52","14.63","10.76","9.7425","5.57","81059.2"
"Swisscom AG","SCMWY","3794.30395",".13","15","6557.16015","5225.81005","3791.81005",".73","",".78","3.15","4398.52978","2199.26","11847.95","1.8307","23398.96289","7.3","7.67579","55.58","23398.96","3.26","6.4","6.17","3.01","1.94","14.34","518.02","22.35","11.38","12.58699","13.48","6944.7"
"Scientific Industries Inc.","SCND",".28","","3.68",".00579",".81","4.90999","3.67","","-.03","",".21289","-.1371","8.14","0","","-6.91","1.46169","3.65","4.63","0","","16.48",".84",".64","","1.49","-8.57","-8.57","1.8351","-6.62","459.6"
"Sc Holdings Corp.","SCNG","","","","","","","","","","","","","","0","","","",".65",".29","0","","","","","",".57","","","","","106.75"
"Superconductor Technologies Inc.","SCON","-7.647","-21.35","2.55","0",".82999","3.39","2.39","0","-1.24","-7.24","-7.64","-9.52001",".45","0","3.00705","-136.79","-83.10801","14","3.01","0","","",".96","2.04","","1.23","-162.6","-162.6","-113.574","-546.61","209090.34"
"School Specialty, Inc.","SCOO","30.523",".01","12.39","130.57","74.16999","196.42999","1.64","1.5","0",".66","41.50999","20.55999","658.38","0","","1.38","4.2284","20","126","0","","4.13","1.45",".19","27.27","7","4.78","2.05","6.13229",".71","1550"
"comScore, Inc.","SCOR","-223.23","-.7","9.9","2.09999","250.49","179.55",".89",".3","-.32","","-225.29","-283.45002","403.54","0","1085.04602","-26.48","-10.10401","30.14","1085.05","0","","","1.89","2.64","","57.9","-43.34","-38.62","-12.724","-65.99","129077.7"
"scPharmaceuticals, Inc.","SCPH","-23.807","","4.77","9.1","4.96999","119.87999","13.8",".1","-.53","","-23.01001","-23.02001","","0","49.85776","","","17.32","99.72","0","","","1.13","","","18.57","","","","","53701.05"
"Scope Industries","SCPJ","","","","","","","","","","","","","","3.5","","","","196","189.81","1.84","","","","","","1","","","","","17.3"
"Scripsamerica Inc.","SCRCQ","","","","","","","","","","","","","","0","","","","0",".1","0","","","","","","141.09","","","","","5125"
"Scor SE","SCRYY","428.18301",".02","3.64","2512.6499","2228.94995","19973.52929","8.96","",".06",".16","658.95001","553.84002","15002.55",".13936","7914.15039",".63","1.35049","4.51","7914.15","3.62","","18.48","1.12",".49","25.56","1935","4.42","3.24","6.48369","1.94","62193.95"
"Steelcase Inc.","SCS","174.06199",".03","6.93","292.20001","554.70001","853.90002","1.61",".36",".14",".91","244.89999","179","3055.5",".50999","808.0921","5.97","6.75439","15.8","1616.18","3.9","","9.24","2",".53","15.22","116.69","13.38","9.83","11.71199","3.52","417801.34"
"Shoe Carnival, Inc.","SCVL","48.345",".02","18.65","0","56.77999","320.57998","4","",".83","1.84","61.5","37.7","1019.15",".29499","533.27404","6.54","5.66599","34.76","533.27",".96","","11.63","1.78",".52","18.03","16.08","9.61","9.4","8.14309","2.86","154966.59"
"Scivanta Medical Corp.","SCVM","-.30701","","",".1","1.27999",".01999","","","","","-.23001","-.23001","","0","","","-964.09498",".02",".37","0","","","","","","20.93","","","","","3774.4"
"SecureWorks Corp.","SCWX","6.182","-.06","8.79","0","244.52","302.48999","1.22","","-.06","-.31","-40.88001","-83.05001","467.9","0","352.957","-3.59","-5.6498","14.9","1058.87","0","","169.99","1.47","2.2","","81.7","-5.19","-5.19","-8.44761","-7.38","133627.84"
"L.S. Starrett Company (The)","SCX","6.64499","","12.41","6.09","30.72999","110.12","4.54","",".23",".14","8.55","1.52999","207.02",".2","","-2.14",".16996","9.22","44.49","3.15","","6.71",".51",".21","45.29","7.02","-4.61","-4.2","-.01226","-1.93","7865.65"
"SCYNEXIS, Inc.","SCYX","-26.394","-97.51",".56","10.3","10.14","44.95999","4.3",".35","-.23","-.89","-23.17001","-23.61001",".26","0","12.88183","-54.13","-130.612","2.47","64.41","0","","","2.43","251.6","","47.01","-105.78","-76.67","-78.91601","-11575.39","300918.66"
"SandRidge Energy, Inc.","SD","184.45199",".13","22.04","37.5","198.91","195.08999",".48","0","-.05",".79","174.14999","42.16999","357.3","0","","2.51","","21.66","571.05","0","","3.12",".73","1.68","20.42","35.4","3.3","3.23","","7.97","186013"
"Security Devices International Inc.","SDEV","-2.52","-9.66","0",".88999",".97","2.16","1.55","-3.03","-.01","-.04","-1.99001","-2.27",".29","0","","-267.57","-196.219",".19","14.04","0","","","","28.35","","94.19","","-601.78","-341.79902","-817.58","9083.55"
"Special Diversified Opportunities Inc.","SDI","20.54",".04","4.86","186.19","39.54999","95.61","2.97","2.52",".2",".02","44.7","41.29","285.8","0","","3.83","-4.96571","18.53","257.83","0","","12.37","3.19",".81","775","16.63","18.09","4.84","-5.11381","4.07","10189.5"
"SPORTS DIRECT","SDISY","277.37799","","","410.45001","958.41998","1648.04003","","","","","567.73999","376.42001","4199.74","0","","","","10.78","2611.27","0","","9.79","","","","269.2","","","","","12.5"
"Seadrill Partners LLC","SDLP","437.73498",".13","35.5","3180.19995","545.5","1213.69995","2.19","","-.04",".43","742.20001","454.70001","1128.4",".4","",".48","2.8117","4.12","257.45","11.7","",".59",".1",".26","7.95","75.28","1.17",".54","3.35199","3.16","179760.41"
"Sandston Corp.","SDON","-.01","","0","0",".01999",".00026",".01","0","0","0","-.01","-.01","","0","","-4411.72","-2546.38501",".1","1.44","0","","","","","","16.14","","","","","1.5"
"Superior Drilling Products, Inc.","SDPI","3.47099","-.02",".64","6.69999","7.65999","6.34999",".85",".23",".04",".03","4.38",".62999","15.6","0","22.5722","3.03","2.1396","2.24","45.14","0","","12.89","2.89","2.48","61.33","24.53","5.89","4.31","5.86899","4.81","31763.95"
"Seadrill Limited","SDRL","","","","","","","","","","","","","","0","","","","22.65","8788.7","0","","","","","","504.52","","","","","229516"
"Sandvik AB","SDVKY","1767.52099",".15","5.29","169.13999","2945.05004","6834.47998","2.5","",".33","1.12","2746.68994","2167.69995","10655.43",".25038","10781.44824","10.91","8.7192","20.06","21562.9","2.06","1.53","12.2","3.25","1.88","15.35","1254.39","24.46","19.8","18.90399","12.32","40340.5"
"Sodexo SA","SDXAY","1274.79394",".03","5.43","3309.08007","8153.47998","8196.33984",".92","","","","1504.52001","1195.70996","24323.52",".40454","15935.18945","","","27.22","15935.19","2.61","9.35","12.74","3.89","","","754.15","","","","","19325.6"
"SPDR S&P Dividend ETF","SDY","","","","","","","","","","","","","","2.09969","","","","98.28","16214.51","2.37","","","","","","165.05","","","","","319178.44"
"Sea Limited Sponsored ADR","SE","-519.56501","-1.35",".9","726.95001","637.70001","1720.70996","2.18","","-.61","","-481.07999","-522","414.19","0","2220.58789","","","16.53","4441.18","0","","","15.08","","","327.04","","","","","1529704.38"
"SeaChange International, Inc.","SEAC","8.567",".17","2.36","0","29.39999","77.51","3.08","","-.11",".05","5.90999","1.22","80.27","0","51.83001","-.25","-8.2625","3.99","103.66","0","3.64","12.06","1.23","1.32","","35.62","-.37","-.37","-11.372","-.35","70456.95"
"SeaWorld Entertainment, Inc.","SEAS","455.35699","-.16","3.07","1503.59997","253.47","118.76999",".44","5.54",".34",".21","228.03999","-209.39","1263.32","0","284.13327",".86","2.65659","25.88","2273.07","0","","5.14","8.43","1.73","123.24","87.83","6.69","1.03","3.1182","1.39","3640640.5"
"Seaboard Corporation","SEB","430",".04","2920","482","818","3128","3.86",".15","6.28","176.92","574","456","5809","4.5","","4.04","6.2704","4654.08","4307.43",".16","","10.02","1.26",".69","20.8","1.17","6.09","5.31","8.2489","3.32","274.45"
"Secoo Holding Limited","SECO","22.53899",".04","16.11","19.1","141.86","325.98999","3.02","",".1","","18.70999","16.64999","574.9","0","185.37719","","","14.65","185.38","0","","8.22",".9","","","12.82","","","","","355024.19"
"SolarEdge Technologies, Inc.","SEDG","112.11699",".14","10.66","0","129.75","476.67999","4","0",".82","3.2","100.3","91.08999","607.04","0","692.32794","20.18","15.369","68.55","2076.98","0",".74","17.51","4.28","2.62","15.85","45.5","32.26","32.22","28.659","17.21","1138068.88"
"Origin Agritech Limited","SEED","-2.692","","","8.55","20.2","13.40999","","","","","-5.95","-10.12","50.2","0","","","-1.7859","18","14.43","0","","","","","","2.33","","","-7.13661","","86368.9"
